문제번호,문제,선지 1,선지 2,선지 3,선지 4,정답,키워드,해설,과목,회차
101,UML 다이어그램 중 순차 다이어그램에 대한 설명으로 틀린 것은?,객체 간의 동적 상호작용을 시간 개념을 중심으로 모델링 하는 것이다.,주로 시스템의 정적 측면을 모델링하기 위해 사용한다.,일반적으로 다이어그램의 수직 방향이 시간의 흐름을 나타낸다.,"회귀 메시지(Self-Message), 제어블록(Statement block) 등으로 구성된다.",2,"시간, 동적 상호작용","순차 다이어그램은 객체 간의 동적 상호작용을 시간 개념을 중심으로 모델링하는 것이기 때문에, 주로 다이어그램의 수직 방향이 시간의 흐름을 나타내며, 회귀 메시지나 제어블록 등으로 구성된다.",1,2
102,"메시지 지향 미들웨어(Message-Oriented Middleware, MOM)에 대한 설명으로 틀린 것은?",느리고 안정적인 응답보다는 즉각적인 응답이 필요한 온라인 업무에 적합하다.,독립적인 애플리케이션을 하나의 통합된 시스템으로 묶기 위한 역할을 한다.,송신측과 수신측의 연결 시 메시지 큐를 활용하는 방법이 있다.,상이한 애플리케이션 간 통신을 비동기 방식으로 지원한다.,1,느리고 안정적인 응답,MOM은 빠른 응답보다는 안정적인 응답을 제공하는 데에 적합하다. 따라서 선지 1은 틀린 설명이다.,1,2
103,익스트림 프로그래밍에 대한 설명으로 틀린 것은?,대표적인 구조적 방법론 중 하나이다.,소규모 개발 조직이 불확실하고 변경이 많은 요구를 접하였을 때 적절한 방법이다.,익스트림 프로그래밍을 구동시키는 원리는 상식적인 원리와 경험을 최대한 끌어 올리는 것이다.,"구체적인 실천 방법을 정의하고 있으며, 개발 문서 보다는 소스코드에 중점을 둔다.",1,"구조적 방법론, 소규모 개발 조직, ","익스트림 프로그래밍은 대표적인 구조적 방법론이 아니라는 것이 틀린 설명이다. 익스트림 프로그래밍은 소규모 개발 조직이 불확실하고 변경이 많은 요구를 접하였을 때 적절한 방법론으로 알려져 있으며, 상식적인 원리와 경",1,2
104,유스케이스(Use Case)의 구성 요소 간의 관계에 포함되지 않는 것은?,연관,확장,구체화,일반화,3,"유스케이스, 관계, ","유스케이스의 구성 요소 간의 관계에는 연관, 확장, 구체화, 일반화가 포함되지만, 일반적으로 유스케이스 간의 상속 관계는 포함되지 않습니다. 이는 유스케이스 간의 일반화 관계가 아닌, 다른 유스케이스를 확장하거나 구체화하는 관계로 이해",1,2
5,요구사항 분석에서 비기능적(Nonfunctional) 요구에 대한 설명으로 옳은 것은?,"시스템의 처리량(Throughput), 반응 시간 등의 성능 요구나 품질 요구는 비기능적 요구에 해당하지 않는다.",차량 대여 시스템이 제공하는 모든 화면이 3초 이내에 사용자에게 보여야 한다'는 비기능적 요구이다.,"시스템 구축과 관련된 안전, 보안에 대한 요구사항들은 비기능적 요구에 해당하지 않는다.","금융 시스템은 조회, 인출, 입금, 송금의 기능이 있어야 한다'는 비기능적 요구이다.",2,비기능적 요구,"비기능적 요구는 시스템의 성능, 품질, 보안, 안전 등과 관련된 요구사항을 의미하며, 선지 2와 같이 시스템의 반응 시간과 같은 성능 요구뿐만 아니라, 선지 3과 같이 시스템의 보안에 대한 요구사항도 포함된다. 선지 1과 선지 4는 비기능적 요구에",1,2
6,정보공학 방법론에서 데이터베이스 설계의 표현으로 사용하는 모델링 언어는?,Package Diagram,State Transition Diagram,Deployment Diagram,Entity-Relationship Diagram,4,"데이터베이스 설계, 모델링 언어","데이터베이스 설계를 위해 사용되는 모델링 언어는 Entity-Relationship Diagram(ERD)이다. ERD는 엔티티(데이터의 속성을 나타내는 개체), 관계(엔티티 간의 관계), 속성 등을 시각적으로 표현하여 데이터베이스 구조를 설계하는데 사용된다.",1,2
7,미들웨어(Middleware)에 대한 설명으로 틀린 것은?,여러 운영체제에서 응용 프로그램들 사이에 위치한 소프트웨어이다.,미들웨어의 서비스 이용을 위해 사용자가 정보 교환 방법 등의 내부 동작을 쉽게 확인할 수 있어야 한다.,소프트웨어 컴포넌트를 연결하기 위한 준비된 인프라 구조를 제공한다.,"여러 컴포넌트를 1대 1, 1대 다, 다대 다 등 여러 가지 형태로 연결이 가능하다.",2,"정보 교환 방법, 내부 동작",미들웨어의 서비스 이용을 위해 사용자가 정보 교환 방법 등의 내부 동작을 쉽게 확인할 수 있어야 한다는 것은 사용자가 미들웨어의 내부 동작에 대해 직접적으로 접근할 수 있어야 한다는 의미이다. 이는 미들웨어의 추상화와 투명성에 대한 요구사항을 반영한,1,2
8,UI의 설계 지침으로 틀린 것은?,이해하기 편하고 쉽게 사용할 수 있는 환경을 제공해야 한다.,주요 기능을 메인 화면에 노출하여 조작이 쉽도록 하여야 한다.,치명적인 오류에 대한 부정적인 사항은 사용자가 인지할 수 없도록 한다.,"사용자의 직무, 연령, 성별 등 다양한 계층을 수용하여야 한다.",3,치명적인 오류,"UI 설계 지침에서 치명적인 오류에 대한 부정적인 사항이 사용자가 인지할 수 없도록 하는 것은 잘못된 지침이다. 사용자는 오류에 대한 정보를 받지 못하면 문제를 해결할 수 없고, 불편함을 겪을 수 있기 때문에 치명적인 오류에 대한 알림이 필요하다.",1,2
9,객체지향 개념에서 다형성(Polymorphism)과 관련한 설명으로 틀린 것은?,다형성은 현재 코드를 변경하지 않고 새로운 클래스를 쉽게 추가할 수 있게 한다.,"다형성이란 여러 가지 형태를 가지고 있다는 의미로, 여러 형태를 받아들일 수 있는 특징을 말한다.",메소드 오버라이딩(Overriding)은 상위 클래스에서 정의한 일반 메소드의 구현을 하위 클래스에서 무시하고 재정의할 수 있다.,"메소드 오버로딩(Overloading)의 경우 매개 변수 타입은 동일하지만 메소드명을 다르게 함으로써 구현, 구분할 수 있다.",4,"다형성(Polymorphism), 메소드 오버라이딩(Overriding), , 다형성은 여러 가지 형태를 가지고 있다는 의미로, 하나의 인터페이스나 추상 클래스를 통해 여러 클래스들을 동일한 타입으로 다룰 수 있는 특징을 말합니다. 이를 통해 코드의 유연성을 높이고 새로운 클래스를 추가하거나 확장하기 쉽게 합니다., ",메소드 오버라이딩은 상위 클래스에서 정의한 메소드를,1,2
10,소프트웨어 개발 영역을 결정하는 요소 중 다음 사항과 관계있는 것은?,기능(Function),성능(Performance),제약 조건(Constraint),인터페이스(Interface),4,,"키워드: 소프트웨어 개발 영역을 결정하는 요소 중 ""제약 조건(Constraint)""이 중요하다. 제약 조건은 개발하는 소프트웨어에 적용되는 제한 사항이며, 이를 고려하여 기능, 성능, 인터페이스 등을 결정하고 개발하는 것이 중요하다. 예를 들어, 시간, 비용, 기술 등의 제약 조건을 고려하여 소프트",1,2
11,객체에 대한 설명으로 틀린 것은?,"객체는 상태, 동작, 고유 식별자를 가진 모든 것이라 할 수 있다.",객체는 공통 속성을 공유하는 클래스들의 집합이다.,객체는 필요한 자료 구조와 이에 수행되는 함수들을 가진 하나의 독립된 존재이다.,객체의 상태는 속성값에 의해 정의된다.,2,"객체, 클래스, ","객체는 클래스에 의해 정의된 속성과 동작을 가지고 있는 독립적인 존재이며, 클래스는 객체들이 공통으로 가지는 속성과 동작을 정의한 것이다. 따라서, 객체는 클래스들의 집합이 아니라 개별적인 독립된 존재이다.",1,2
12,속성과 관련된 연산(Operation)을 클래스 안에 묶어서 하나로 취급하는 것을 의미하는 객체지향 개념은?,Inheritance,Class,Encapsulation,Association,3,Encapsulation,"Encapsulation은 속성과 관련된 연산(Operation)을 클래스 안에 묶어서 하나로 취급하는 객체지향 개념을 의미합니다. 이는 데이터와 해당 데이터를 처리하는 메서드를 하나의 단위로 묶어 정보 은닉과 보호를 제공하며, 코드의 유지보수성과 재사용성을 높이는데 도움을 줍니다.",1,2
13,애자일(Agile) 프로세스 모델에 대한 설명으로 틀린 것은?,변화에 대한 대응보다는 자세한 계획을 중심으로 소프트웨어를 개발한다.,프로세스와 도구 중심이 아닌 개개인과의 상호소통을 통해 의견을 수렴한다.,협상과 계약보다는 고객과의 협력을 중시한다.,"문서 중심이 아닌, 실행 가능한 소프트웨어를 중시한다.",1,자세한 계획,"애자일 프로세스 모델은 변화에 대한 대응을 중요시하며, 초기에 자세한 계획을 세우는 것보다는 유연하게 변화에 대응하면서 소프트웨어를 개발하는 것을 중요시한다. 따라서 ""변화에 대한 대응보다는 자세한 계획을 중심으로 소프트웨어를 개발한다""는 설명이 틀",1,2
14,"명백한 역할을 가지고 독립적으로 존재할 수 있는 시스템의 부분으로 넓은 의미에서는 재사용되는 모든 단위라고 볼 수 있으며, 인터페이스를 통해서만 접근할 수 있는 것은?",Model,Sheet,Component,Cell,3,"독립적, 인터페이스, ","시스템의 부분으로 독립적으로 존재할 수 있는 것이며, 인터페이스를 통해서만 접근할 수 있는 것은 Component이다. Component는 재사용 가능한 모듈로, 다른 시스템이나 소프트웨어에서도 독립적으로 사용될 수 있으며, 외부에서는 정의된 인터페이스를 통해 상호작용할 수 있다.",1,2
15,"GoF(Gang of Four) 디자인 패턴을 생성, 구조, 행동 패턴의 세 그룹으로 분류할 때, 구조 패턴이 아닌 것은?",Adapter 패턴,Bridge 패턴,Builder 패턴,Proxy 패턴,3,"구조 패턴, ","GoF(Gang of Four) 디자인 패턴은 생성, 구조, 행동 패턴으로 분류되며, Builder 패턴은 생성 패턴이고, Adapter, Bridge, Proxy 패턴은 구조 패턴에 속합니다. Builder 패턴이 구조 패턴이 아니기 때문에 이 중에서 선택해야 합니다.",1,2
16,"UI와 관련된 기본 개념 중 하나로, 시스템의 상태와 사용자의 지시에 대한 효과를 보여주어 사용자가 명령에 대한 진행 상황과 표시된 내용을 해석할 수 있도록 도와주는 것은?",Feedback,Posture,Module,Hash,1,Feedback,"Feedback은 시스템의 상태와 사용자의 지시에 대한 효과를 보여주어 사용자가 명령에 대한 진행 상황과 표시된 내용을 해석할 수 있도록 도와주는 것을 의미합니다. 사용자가 시스템에 명령을 내릴 때 시스템이 그 명령을 받았는지, 처리 중인지, 완료했는지 등을 사용자에게 알려줌으로써",1,2
17,"UI의 종류로 멀티 터치(Multi-touch), 동작 인식(Gesture Recognition) 등 사용자의 자연스러운 움직임을 인식하여 서로 주고받는 정보를 제공하는 사용자 인터페이스를 의미하는 것은?",GUI(Graphical User Interface),OUI(Organic User Interface),NUI(Natural User Interface),CLI(Command Line Interface),3,"자연스러운 움직임, 사용자 인터페이스","자연스러운 사용자 움직임을 감지하고 이를 통해 사용자와 시스템 간의 상호작용을 가능하게 하는 사용자 인터페이스를 의미하는 것은 NUI(Natural User Interface)입니다. NUI는 멀티 터치, 동작 인식 등을 통해 사용자가 자연스럽게 시스템과 소통할 수 있도록 돕는 기",1,2
18,소프트웨어 모델링과 관련한 설명으로 틀린 것은?,모델링 작업의 결과물은 다른 모델링 작업에 영향을 줄 수 없다.,"구조적 방법론에서는 DFD(Data Flow Diagram), DD(Data Dictionary) 등을 사용하여 요구 사항의 결과를 표현한다.",객체지향 방법론에서는 UML 표기법을 사용한다.,소프트웨어 모델을 사용할 경우 개발될 소프트웨어에 대한 이해도 및 이해 당사자 간의 의사소통 향상에 도움이 된다.,1,"모델링, 소프트웨어, ","소프트웨어 모델링은 소프트웨어 개발 과정에서 필요한 요구사항, 설계, 구현 등을 시각적으로 표현하는 과정이다. 모델링 작업의 결과물은 다른 모델링 작업에 영향을 줄 수 있으며, 소프트웨어 개발에 필요한 이해도와 의사소",1,2
19,유스케이스 다이어그램(Use Case Diagram)에 관련된 내용으로 틀린 것은?,시스템과 상호작용하는 외부시스템은 액터로 파악해서는 안된다.,"유스케이스는 사용자 측면에서의 요구사항으로, 사용자가 원하는 목표를 달성하기 위해 수행할 내용을 기술한다.","시스템 액터는 다른 프로젝트에서 이미 개발되어 사용되고 있으며, 본 시스템과 데이터를 주고받는 등 서로 연동되는 시스템을 말한다.",액터가 인식할 수 없는 시스템 내부의 기능을 하나의 유스케이스로 파악해서는 안된다.,1,"액터, 시스템, ","유스케이스 다이어그램에서 액터는 시스템과 상호작용하는 외부 개체를 의미하며, 이는 시스템과의 상호작용을 통해 시스템이 제공하는 기능을 이용하는 주체를 나타낸다. 액터는 시스템과의 상호작용을 통해 시스템이 제공하는 기능을 이용하는 주체를 나타내므로,",1,2
20,소프트웨어 아키텍처 모델 중 MVC(Model-View-Controller)와 관련한 설명으로 틀린 것은?,"MVC 모델은 사용자 인터페이스를 담당하는 계층의 응집도를 높일 수 있고, 여러 개의 다른 UI를 만들어 그 사이에 결합도를 낮출 수 있다.","모델(Model)은 뷰(View)와 제어(Controller) 사이에서 전달자 역할을 하며, 뷰마다 모델 서브시스템이 각각 하나씩 연결된다.",뷰(View)는 모델(Model)에 있는 데이터를 사용자 인터페이스에 보이는 역할을 담당한다.,"제어(Controller)는 모델(Model)에 명령을 보냄으로써 모델의 상태를 변경할 수 있다.

2과목 : 소프트웨어 개발",2,"MVC(Model-View-Controller), ","MVC는 소프트웨어 아키텍처 모델 중 하나로, 사용자 인터페이스를 구성하는 모델(Model), 뷰(View), 제어(Controller) 세 가지 요소로 구성된다. 각 요소는 역할이 분리되어 있어 유지보수와 확장이 용이하며, 사용자 인터페이스를 효과적으로 관리할 수 있다.",1,2
21,통합 테스트(Integration Test)와 관련한 설명으로 틀린 것은?,시스템을 구성하는 모듈의 인터페이스와 결합을 테스트하는 것이다.,하향식 통합 테스트의 경우 넓이 우선(Breadth First) 방식으로 테스트를 할 모듈을 선택할 수 있다.,상향식 통합 테스트의 경우 시스템 구조도의 최상위에 있는 모듈을 먼저 구현하고 테스트한다.,모듈 간의 인터페이스와 시스템의 동작이 정상적으로 잘되고 있는지를 빨리 파악하고자 할 때 상향식 보다는 하향식 통합 테스트를 사용하는 것이 좋다.,3,"하향식 통합 테스트, 넓이 우선 방식, ","하향식 통합 테스트는 시스템의 최하위 모듈부터 상위 모듈로 테스트를 진행하는 방식이며, 넓이 우선 방식은 넓은 범위의 모듈을 먼저 테스트하는 방식을 의미한다. 따라서, 하향식 통합 테스트의 경우 넓이 우선 방식으로 테",2,2
